cd C:\RC\Sketchbook\Foxetron\Foxetron_AngleController\Release
avr-nm -C -S -l -f sysv Foxetron_AngleController.elf

Name                  Value   Class        Type         Size     Line  Section
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.do_clear_bss_loop  |0000042c|   t  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__tmp_reg__         |00000000|   a  |            NOTYPE|        |     |*ABS*
__trampolines_end   |00000094|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:657
__trampolines_start |00000094|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:657
__udivmodhi4        |00006942|   T  |            NOTYPE|00000028|     |.text
__udivmodhi4_ep     |00006958|   t  |            NOTYPE|        |     |.text
__udivmodhi4_loop   |0000694a|   t  |            NOTYPE|        |     |.text
__udivmodsi4        |0000696a|   T  |            NOTYPE|00000044|     |.text
__udivmodsi4_ep     |00006990|   t  |            NOTYPE|        |     |.text
__udivmodsi4_loop   |00006976|   t  |            NOTYPE|        |     |.text
__umulhisi3         |000069c0|   T  |            NOTYPE|0000001e|     |.text
__utoa_common       |000070fe|   T  |            NOTYPE|        |     |.text
__utoa_ncheck       |000070fc|   T  |              FUNC|00000034|     |.text
__vector_1          |00000584|   T  |              FUNC|0000008c|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:293
__vector_10         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_11         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_12         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_13         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_14         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_15         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_16         |000058d2|   T  |              FUNC|00000094|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/wiring.c:45
__vector_17         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_18         |00005f3a|   T  |              FUNC|00000064|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/HardwareSerial0.cpp:40
__vector_19         |00005f9e|   T  |              FUNC|0000004c|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/HardwareSerial0.cpp:59
__vector_2          |00000610|   T  |              FUNC|00000084|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:299
__vector_20         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_21         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_22         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_23         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_24         |00004a2a|   T  |              FUNC|00000256|     |.text    C:\RC\Sketchbook\libraries\Wire\utility/twi.c:365
__vector_25         |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_3          |00000694|   T  |              FUNC|0000002c|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:308
__vector_4          |000006c0|   T  |              FUNC|0000003e|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:315
__vector_5          |000006fe|   T  |              FUNC|00000032|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:324
__vector_6          |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_7          |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_8          |00000452|   W  |            NOTYPE|        |     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/phi_prompt.custom.cpp:874
__vector_9          |00000730|   T  |              FUNC|00000016|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:336
__vector_default    |00000000|   W  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:644
__vectors           |00000000|   T  |            NOTYPE|        |     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:644
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
__zero_reg__        |00000001|   a  |            NOTYPE|        |     |*ABS*
_AngleEncoderA      |008004db|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:135
_AngleEncoderB      |008004da|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:136
_AngleReading       |008004d5|   B  |            OBJECT|00000004|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:141
_AngleUp            |008004d9|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:140
_ControllerError    |008004c9|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:186
_ControllerStatus   |008004c6|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:188
_ControllerStatusMsg|008004c7|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:187
_Degrees            |008004ca|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:183
_DriverError        |008004c5|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:190
_DriverStatus       |008004c2|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:192
_DriverStatusMsg    |008004c3|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:191
_edata              |008004c2|   d  |            NOTYPE|        |     |.data
_end                |00800971|   B  |            NOTYPE|        |     |.noinit
_etext              |0000718a|   t  |            NOTYPE|        |     |.text
_exit               |00007172|   T  |            NOTYPE|        |     |.text
_GLOBAL__sub_D_ARDUINO_PORT_TO_MODE|0000221e|   t  |              FUNC|00000062|     |.text
_GLOBAL__sub_I___vector_18|00005ffa|   t  |              FUNC|00000086|     |.text
_GLOBAL__sub_I__ZN5SDLib20getNextPathComponentEPKcPjPc|00000922|   t  |              FUNC|00000046|     |.text
_GLOBAL__sub_I__ZN7Sd2Card11cardCommandEhm|00000d6a|   t  |              FUNC|0000000c|     |.text
_GLOBAL__sub_I__ZN7TwoWire8rxBufferE|000048ee|   t  |              FUNC|0000000a|     |.text
_GLOBAL__sub_I__ZN9IttyBitty24SERIAL_EEPROM_TIMEOUT_MSE|00001e84|   t  |              FUNC|00000012|     |.text
_GLOBAL__sub_I_ARDUINO_PORT_TO_MODE|0000218c|   t  |              FUNC|000000aa|     |.text
_GLOBAL__sub_I_LCD  |00004ce2|   t  |              FUNC|00000010|     |.text
_GLOBAL__sub_I_LCD_CHAR_BARGRAPH_EMPTY|000007b2|   t  |              FUNC|0000000e|     |.text
_GLOBAL__sub_I_RGB  |00004dd4|   t  |              FUNC|00000158|     |.text
_LedButton1         |008004d4|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:145
_LedButton2         |008004d3|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:146
_LedButton3         |008004d2|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:147
_LedButton4         |008004d1|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:148
_LedButton5         |008004d0|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:149
_MenuEncoderA       |008004cf|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:159
_MenuEncoderB       |008004ce|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:160
_RgbCurveFlasher    |008008b6|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:22
_RgbCurves          |008008aa|   B  |            OBJECT|0000000a|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:26
_RgbCurveSine       |008008b4|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:24
_RgbSchedule        |008008b8|   B  |            OBJECT|00000002|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:20
_SelectButton       |008004cd|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:167
_ShiftButton        |008004cc|   B  |            OBJECT|00000001|     |.bss     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:168
SetPinMode(unsigned int, unsigned char)|0000211e|   T  |              FUNC|0000006e|     |.text C:\RC\Sketchbook\libraries\IttyBitty/IttyBitty_GPIO.cpp:87
serialEvent()       |00000514|   T  |              FUNC|0000000e|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:230
InitializePins()    |0000045a|   W  |              FUNC|000000ba|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_Pins.h:63
LCD_Initialize()    |00004c7c|   T  |              FUNC|0000006e|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_LCD.cpp:21
RGB_Initialize()    |00004d2e|   T  |              FUNC|0000005e|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:63
RGB_OnSetColor(vargb::ColorSettings*)|00004cf0|   T  |              FUNC|0000002a|     |.text   C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:45
serialEventRun()    |00005cf6|   W  |              FUNC|0000001c|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/HardwareSerial.cpp:63
Serial0_available() |00005fe8|   T  |              FUNC|00000014|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/HardwareSerial0.cpp:75
InitializeInterrupts()|00000746|   T  |              FUNC|00000034|     |.text  C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:360
RGB_OnScheduleComplete(vargb::Schedule*)|00004d14|   T  |              FUNC|0000001e|     |.text        C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:52
CleanUp()           |00000454|   T  |              FUNC|00000006|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:355
RGB_Free()          |00004d8e|   T  |              FUNC|00000046|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:79
RGB_Step()          |00004d84|   T  |              FUNC|0000000c|     |.text    C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_RGB.cpp:74
OnMessage(IttyBitty::IMessage*)|000007c0|   T  |              FUNC|00000162|     |.text C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328/Foxetron_AngleController.cpp:374
operator delete[](void*)|000060ac|   T  |              FUNC|00000006|     |.text        C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/new.cpp:43
operator delete(void*)|000060a8|   T  |              FUNC|00000006|     |.text  C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/new.cpp:39
reference temporary #0 for LCD_CHAR_BARGRAPH_EMPTY|00800106|   d  |            OBJECT|00000002|     |.data
guard variable for IttyBitty::_BitProxy::NULL_OBJECT()::NULL_BITREF|0080075c|   b  |            OBJECT|00000008|     |.bss
guard variable for IttyBitty::ByteField::NULL_OBJECT()::NULL_BYTEFIELD|00800754|   b  |            OBJECT|00000008|     |.bss
guard variable for IttyBitty::ByteField::operator IttyBitty::ByteField**()::sillyPtr|0080074c|   b  |            OBJECT|00000008|     |.bss
guard variable for IttyBitty::ByteField::Bytes() const::thisClone|00800744|   b  |            OBJECT|00000008|     |.bss
chip_select_asserted|0080052a|   b  |            OBJECT|00000001|     |.bss
LCD_CHAR_SCROLLBAR_3|000000b0|   t  |            OBJECT|00000008|     |.text    C:\Program Files (x86)\Arduino\hardware\arduino\avr\cores\arduino/WString.cpp:660
spiRec()            |000009c4|   t  |              FUNC|00000008|     |.text    C:\RC\Sketchbook\libraries\SD\src\utility/Sd2Card.cpp:46
settings            |0080052b|   b  |            OBJECT|00000002|     |.bss
BigCrystal_I2C::clearColumn(unsigned char, unsigned char)|00004f6a|   T  |              FUNC|00000048|     |.text
BigCrystal_I2C::getTableCodeAndIndex(char, unsigned char&, unsigned char&)|00004f30|   T  |              FUNC|00000022|     |.text
BigCrystal_I2C::printBig(__FlashStringHelper const*, unsigned char, unsigned char)|000050b4|   T  |              FUNC|00000040|     |.text
BigCrystal_I2C::writeBig(char, unsigned char, unsigned char)|00004fae|   T  |              FUNC|00000110|     |.text
BigCrystal_I2C::supported(char)|00004f52|   T  |              FUNC|00000018|     |.text
BigCrystal_I2C::BigCrystal_I2C(unsigned char, unsigned char, unsigned char)|00004f1a|   T  |              FUNC|00000018|     |.text     C:\Users\Tom\AppData\Local\Temp\VMicroBuilds\Foxetron_AngleController\nano_atmega328\libs/BigCrystal_I2C.custom.cp
p:7
BigCrystal_I2C::BigCrystal_I2C(unsigned char, unsigned char, unsigned char)|00004f1a|   T  |              FUNC|00000018|     |.text
HardwareSerial::_tx_udr_empty_irq()|00005d10|   T  |              FUNC|00000042|     |.text
HardwareSerial::availableForWrite()|00005f1c|   T  |              FUNC|0000001e|     |.text
HardwareSerial::peek()|00005cb2|   T  |              FUNC|0000001c|     |.text
HardwareSerial::read()|00005cce|   T  |              FUNC|00000028|     |.text
HardwareSerial::begin(unsigned long, unsigned char)|00005e5c|   T  |              FUNC|000000c4|     |.text
HardwareSerial::flush()|00005d52|   T  |              FUNC|00000044|     |.text
HardwareSerial::write(unsigned char)|00005d94|   T  |              FUNC|000000ca|     |.text
HardwareSerial::available()|00005c9c|   T  |              FUNC|00000016|     |.text
LiquidCrystal_I2C::createChar(unsigned char, unsigned char*)|0000524c|   T  |              FUNC|0000005c|     |.text
LiquidCrystal_I2C::write4bits(unsigned char)|00005178|   T  |              FUNC|0000001e|     |.text
LiquidCrystal_I2C::pulseEnable(unsigned char)|0000514e|   T  |              FUNC|00000032|     |.text
LiquidCrystal_I2C::expanderWrite(unsigned char)|0000510a|   T  |              FUNC|0000003c|     |.text
LiquidCrystal_I2C::home()|000051e8|   T  |              FUNC|00000010|     |.text
LiquidCrystal_I2C::init()|00005350|   T  |              FUNC|00000006|     |.text
LiquidCrystal_I2C::send(unsigned char, unsigned char)|00005192|   T  |              FUNC|0000003e|     |.text
LiquidCrystal_I2C::begin(unsigned char, unsigned char, unsigned char)|000052a6|   T  |              FUNC|000000aa|     |.text
LiquidCrystal_I2C::clear()|000051dc|   T  |              FUNC|00000010|     |.text
LiquidCrystal_I2C::write(unsigned char)|000051cc|   W  |              FUNC|0000000c|     |.text
